length,period,time_30_1,time_30_2,time_30_3
0.100,0.652,19.162,20.000,19.514
0.150,0.803,24.122,24.280,23.879
0.200,0.913,27.072,27.298,27.811
0.250,1.018,30.475,30.963,30.187
0.300,1.122,33.865,33.881,33.212
0.350,1.203,35.722,36.596,35.930
0.400,1.279,38.429,38.310,38.345
0.450,1.358,40.598,40.874,40.780
0.500,1.432,42.710,43.311,42.857
0.550,1.507,44.908,45.449,45.298
0.600,1.567,47.163,46.927,46.978
0.650,1.640,49.059,49.270,49.284
0.700,1.698,51.301,50.735,50.745
0.750,1.762,53.070,52.815,52.677
0.800,1.802,53.957,53.953,54.260
