length,period,time_30_1,time_30_2,time_30_3
0.100,0.640,19.130,19.297,19.173
0.150,0.802,24.138,24.012,24.070
0.200,0.922,27.665,27.409,27.916
0.250,1.027,31.017,30.883,30.550
0.300,1.119,33.857,33.081,33.763
0.350,1.200,36.058,36.258,35.718
0.400,1.284,38.619,38.241,38.704
0.450,1.369,41.368,40.851,40.994
0.500,1.432,43.068,42.970,42.843
0.550,1.509,45.328,45.074,45.366
0.600,1.573,46.940,47.271,47.343
0.650,1.643,49.148,49.413,49.270
0.700,1.689,50.598,50.829,50.584
0.750,1.750,52.583,52.302,52.638
0.800,1.810,54.637,53.951,54.312
