length,period,time_30_1,time_30_2,time_30_3
0.100,0.653,19.506,19.705,19.525
0.150,0.800,24.123,23.965,23.955
0.200,0.918,27.609,27.300,27.726
0.250,1.012,30.577,30.123,30.410
0.300,1.118,33.455,33.906,33.239
0.350,1.207,35.769,36.354,36.524
0.400,1.283,38.152,38.505,38.779
0.450,1.358,40.669,40.604,40.911
0.500,1.431,42.728,43.466,42.602
0.550,1.502,45.177,45.307,44.666
0.600,1.580,47.553,47.608,47.069
0.650,1.634,48.899,48.912,49.293
0.700,1.702,51.313,51.327,50.565
0.750,1.751,52.296,52.316,52.969
0.800,1.815,54.673,54.489,54.149
