length,period,time_30_1,time_30_2,time_30_3
0.100,0.649,19.508,19.602,19.298
0.150,0.798,24.304,23.421,24.064
0.200,0.910,27.049,27.386,27.428
0.250,1.023,30.816,30.217,31.029
0.300,1.124,33.738,33.775,33.631
0.350,1.205,36.068,36.012,36.347
0.400,1.287,38.763,38.882,38.145
0.450,1.359,40.421,40.837,41.027
0.500,1.439,43.418,43.182,42.884
0.550,1.514,45.350,45.610,45.328
0.600,1.581,47.220,47.519,47.557
0.650,1.638,48.927,49.362,49.114
0.700,1.688,50.719,50.542,50.641
0.750,1.750,52.591,52.220,52.731
0.800,1.812,54.079,54.784,54.220
