length,period,time_30_1,time_30_2,time_30_3
0.100,0.647,19.298,19.248,19.696
0.150,0.802,24.200,23.894,24.076
0.200,0.918,27.004,27.855,27.719
0.250,1.013,30.658,30.266,30.213
0.300,1.116,33.277,33.399,33.795
0.350,1.204,36.582,36.130,35.635
0.400,1.288,38.553,38.565,38.833
0.450,1.371,41.274,40.881,41.269
0.500,1.423,42.618,42.750,42.727
0.550,1.516,45.634,45.406,45.357
0.600,1.573,46.947,47.471,47.124
0.650,1.646,49.228,49.431,49.475
0.700,1.689,50.776,50.787,50.479
0.750,1.753,52.259,52.456,53.011
0.800,1.811,54.005,54.640,54.354
