length,period,time_30_1,time_30_2,time_30_3
0.100,0.655,19.925,19.775,19.286
0.150,0.788,23.419,24.049,23.463
0.200,0.914,27.576,26.938,27.723
0.250,1.014,30.264,30.443,30.594
0.300,1.114,33.854,33.384,33.056
0.350,1.208,35.754,36.501,36.501
0.400,1.290,38.848,38.271,38.996
0.450,1.367,41.069,40.917,41.071
0.500,1.444,43.088,43.541,43.375
0.550,1.502,44.739,45.062,45.399
0.600,1.573,47.289,46.678,47.598
0.650,1.639,49.326,49.338,48.815
0.700,1.706,50.909,51.310,51.298
0.750,1.751,52.277,52.360,52.996
0.800,1.803,53.965,53.846,54.496
