length,period,time_30_1,time_30_2,time_30_3
0.100,0.651,19.434,19.319,19.821
0.150,0.802,24.016,24.307,23.827
0.200,0.916,27.490,27.563,27.380
0.250,1.013,30.875,30.119,30.205
0.300,1.113,33.130,33.768,33.247
0.350,1.206,36.148,36.518,35.844
0.400,1.278,38.363,38.179,38.521
0.450,1.368,41.234,41.283,40.580
0.500,1.435,43.419,43.176,42.573
0.550,1.509,45.536,45.549,44.722
0.600,1.579,47.146,47.337,47.582
0.650,1.635,49.197,48.945,48.979
0.700,1.697,50.634,51.038,51.090
0.750,1.752,52.206,52.911,52.533
0.800,1.820,54.460,54.549,54.811
