length,period,time_30_1,time_30_2,time_30_3
0.100,0.645,19.104,19.423,19.499
0.150,0.790,23.431,23.389,24.270
0.200,0.915,27.134,27.575,27.605
0.250,1.022,30.782,30.509,30.680
0.300,1.121,33.961,33.171,33.746
0.350,1.200,35.976,35.862,36.145
0.400,1.288,38.780,38.187,38.945
0.450,1.364,40.747,41.211,40.787
0.500,1.425,42.935,42.655,42.693
0.550,1.504,45.209,45.097,45.013
0.600,1.567,47.163,47.247,46.654
0.650,1.629,48.973,48.658,48.954
0.700,1.701,51.094,51.320,50.704
0.750,1.756,52.904,52.879,52.254
0.800,1.800,53.924,53.918,54.168
